# radius	radprofrcnorm
0	0.073616587
0.0086500002	0.07375399
0.0173	0.073965617
0.02595	0.074023351
0.034600001	0.073787674
0.043250002	0.073918507
0.051899999	0.074256696
0.060550001	0.074442498
0.069200002	0.07464537
0.077849999	0.074569598
0.086500004	0.074399047
0.095150001	0.074135609
0.1038	0.074024677
0.11245	0.073652409
0.1211	0.073161438
0.12975	0.073287047
0.1384	0.073489726
0.14705001	0.073480293
0.1557	0.073225886
0.16435	0.07306356
0.17300001	0.073207393
0.18165	0.0734393
0.1903	0.073671572
0.19895001	0.073774785
0.2076	0.073734581
0.21625	0.073647164
0.22490001	0.073638245
0.23355001	0.073493332
0.2422	0.07326746
0.25084999	0.073110551
0.2595	0.073047943
0.26815	0.07293947
0.27680001	0.0728845
0.28545001	0.072862625
0.29410002	0.072779424
0.30275002	0.07275483
0.3114	0.07258635
0.32005	0.072362132
0.32870001	0.072442912
0.33735001	0.072607085
0.34600002	0.072724357
0.35465002	0.072883867
0.3633	0.073002681
0.37195	0.072889768
0.38060001	0.072819598
0.38925001	0.07280577
0.39790002	0.072737284
0.40655002	0.072691426
0.4152	0.072693303
0.42385	0.072623804
0.4325	0.072663769
0.44115001	0.072781168
0.44980001	0.072753951
0.45845002	0.072696865
0.46710002	0.072602801
0.47575	0.072461441
0.4844	0.072446287
0.49305001	0.072491877
0.50169998	0.072472215
0.51034999	0.072428487
0.51899999	0.072438702
0.52765	0.072430886
0.5363	0.072454631
0.54495001	0.072584599
0.55360001	0.072633408
0.56225002	0.072565481
0.57090002	0.072560489
0.57955003	0.072568476
0.58820003	0.072586603
0.59685004	0.072622769
0.60550004	0.072611131
0.61414999	0.072582677
0.62279999	0.072541922
0.63145	0.072451167
0.6401	0.072434954
0.64875001	0.072397009
0.65740001	0.072272338
0.66605002	0.072200581
0.67470002	0.072168961
0.68335003	0.072157294
0.69200003	0.072172403
0.70065004	0.072196856
0.70930004	0.072199568
0.71795005	0.072199397
0.72659999	0.072206698
0.73525	0.072191991
0.7439	0.072181933
0.75255001	0.072178178
0.76120001	0.072139181
0.76985002	0.072107285
0.77850002	0.072121538
0.78715003	0.07204777
0.79580003	0.071996599
0.80445004	0.07198111
0.81310004	0.071930222
0.82175004	0.071927436
0.83039999	0.071947202
0.83904999	0.071969375
0.8477	0.072013937
0.85635	0.071995571
0.86500001	0.071868435
0.87365001	0.071841426
0.88230002	0.071884789
0.89095002	0.071912624
0.89960003	0.071949616
0.90825003	0.071959786
0.91690004	0.071952939
0.92555004	0.071956739
0.93420005	0.071986228
0.94284999	0.071992762
0.9515	0.071981385
0.96015	0.071953349
0.96880001	0.071918063
0.97745001	0.071938805
0.98610002	0.071977966
0.99475002	0.072054468
1.0034	0.072131798
1.01205	0.072139703
1.0207	0.072085336
1.02935	0.071989387
1.038	0.071901575
1.0466501	0.071837001
1.0553	0.071801797
1.0639501	0.071760066
1.0726	0.071685694
1.0812501	0.071624979
1.0899	0.071550265
1.0985501	0.071530938
1.1072	0.071490005
1.11585	0.071417674
1.1245	0.071335077
1.13315	0.071259096
1.1418	0.071172588
1.15045	0.071122922
1.1591001	0.071130499
1.16775	0.071090333
1.1764001	0.071038954
1.18505	0.07094124
1.1937001	0.070799641
1.20235	0.070626885
1.2110001	0.070455827
1.21965	0.070306793
1.2283	0.070110582
1.23695	0.069960013
1.2456	0.06980256
1.25425	0.069673665
1.2629	0.069557622
1.2715501	0.069416977
1.2802	0.069261186
1.2888501	0.069050223
1.2975	0.068912804
1.3061501	0.06876076
1.3148	0.068612136
1.3234501	0.068512276
1.3321	0.068399139
1.34075	0.068247385
1.3494	0.068103068
1.35805	0.067908891
1.3667001	0.067691997
1.37535	0.06748762
1.3840001	0.067277484
1.39265	0.067097977
1.4013001	0.066924579
1.40995	0.066671319
1.4186001	0.066438265
1.42725	0.066192947
1.4359001	0.065967806
1.44455	0.065668538
1.4532	0.0654286
1.46185	0.065191403
1.4705	0.064898498
1.4791501	0.064631082
1.4878	0.064369753
1.4964501	0.064067326
1.5051	0.063754693
1.5137501	0.063421689
1.5224	0.063082263
1.5310501	0.062741831
1.5397	0.062363025
1.5483501	0.062001232
1.557	0.061681069
1.56565	0.061305795
1.5743001	0.060935847
1.58295	0.060557485
1.5916001	0.060163129
1.60025	0.059746835
1.6089001	0.059299223
1.61755	0.058844987
1.6262001	0.058374956
1.63485	0.057898808
1.6435001	0.057431404
1.65215	0.056939054
1.6608	0.056429375
1.66945	0.055903193
1.6781	0.055364143
1.6867501	0.054816261
1.6954	0.0542261
1.7040501	0.053660769
1.7127	0.053136509
1.7213501	0.052596085
1.73	0.052064229
1.7386501	0.051535405
1.7473	0.050978273
1.7559501	0.050426129
1.7646	0.049862552
1.77325	0.049269479
1.7819	0.048690628
1.79055	0.048115622
1.7992001	0.047531754
1.80785	0.046923153
1.8165001	0.046301506
1.82515	0.04569545
1.8338001	0.045093499
1.84245	0.044470984
1.8511001	0.043818653
1.85975	0.04318269
1.8684001	0.042569444
1.87705	0.041941401
1.8857	0.041322086
1.8943501	0.040716942
1.903	0.040081225
1.9116501	0.03945677
1.9203	0.038868144
1.9289501	0.038288001
1.9376	0.037677996
1.9462501	0.03708946
1.9549	0.036493041
1.9635501	0.035897609
1.9722	0.035301045
1.9808501	0.03470524
1.9895	0.034134448
1.99815	0.033531517
2.0067999	0.032954384
2.01545	0.032407075
2.0241001	0.031850714
2.0327501	0.031307843
2.0414	0.030759318
2.05005	0.030222302
2.0587001	0.029649345
2.0673501	0.029105904
2.076	0.028589847
2.08465	0.028096987
2.0933001	0.027595073
2.1019502	0.027120208
2.1106	0.0266563
2.1192501	0.026178749
2.1279001	0.025708979
2.1365499	0.0252975
2.1452	0.024871686
2.1538501	0.024357598
2.1625001	0.023878297
2.17115	0.023473859
2.1798	0.02308327
2.1884501	0.02268517
2.1971002	0.022287672
2.20575	0.021902464
2.2144001	0.021494767
2.2230501	0.021103151
2.2316999	0.02074408
2.24035	0.020371096
2.2490001	0.019995481
2.2576501	0.019652892
2.2663	0.019342326
2.27495	0.019038191
2.2836001	0.018711872
2.2922502	0.018447714
2.3009	0.018201044
2.30955	0.017880324
2.3182001	0.017559502
2.3268499	0.017293384
2.3355	0.017050365
2.3441501	0.016757505
2.3528001	0.016457388
2.36145	0.01620044
